,Animal - Fold,"Accuracy","Precision","Recall","F-1 Score"
79,fly - 2,0.8903508771929824,0.9979035639412998,0.7933333333333333,0.883936861652739
80,fly - 3,0.9070175438596492,0.8993610223642172,0.929042904290429,0.913961038961039
81,fox - 1,0.9134615384615384,0.968503937007874,0.8556521739130435,0.9085872576177284
82,fox - 2,0.9248251748251748,0.9256198347107438,0.9317803660565723,0.9286898839137645
83,fox - 3,0.9117132867132867,0.9009584664536742,0.9353233830845771,0.9178193653376728
84,goat - 1,0.8844133099824869,0.836890243902439,0.9564459930313589,0.8926829268292683
85,goat - 2,0.8528896672504378,0.7953615279672579,0.9700499168053245,0.8740629685157422
86,goat - 3,0.9211908931698775,0.9199346405228758,0.9321192052980133,0.9259868421052632
87,goldfish - 1,0.9325744308231173,0.9844054580896686,0.8797909407665505,0.9291628334866605
88,goldfish - 2,0.8844133099824869,0.821673525377229,0.9966722129783694,0.9007518796992482
89,goldfish - 3,0.9816112084063048,0.9899159663865547,0.9751655629139073,0.9824854045037531
90,goose - 1,0.9255039439088519,0.9637404580152672,0.8844133099824869,0.9223744292237442
91,goose - 2,0.908851884312007,0.9263698630136986,0.8986710963455149,0.9123102866779089
92,goose - 3,0.8964912280701754,0.9784313725490196,0.8234323432343235,0.8942652329749103
93,gorilla - 1,0.9666666666666667,0.98014440433213,0.9526315789473684,0.9661921708185053
94,gorilla - 2,0.9210526315789473,0.9942307692307693,0.8559602649006622,0.9199288256227758
95,gorilla - 3,0.9675153643546971,0.9686468646864687,0.9702479338842975,0.9694467382328653
96,grasshopper - 1,0.9095697980684812,0.9874739039665971,0.8298245614035088,0.901811248808389
97,grasshopper - 2,0.9534679543459175,0.9807355516637478,0.9302325581395349,0.9548167092924126
98,grasshopper - 3,0.8823529411764706,0.9816700610997964,0.7940691927512356,0.877959927140255
99,hamster - 1,0.9213286713286714,0.9601518026565465,0.88,0.9183303085299455
100,hamster - 2,0.9151356080489939,0.8796992481203008,0.9717607973421927,0.9234411996842936
101,hamster - 3,0.9352580927384077,0.9782608695652174,0.8970099667774086,0.9358752166377816
102,hare - 1,0.9335083114610674,0.980806142034549,0.8856152512998267,0.930783242258652
103,hare - 2,0.9290718038528897,0.9868173258003766,0.8762541806020067,0.9282550930026572
104,hare - 3,0.9106830122591943,0.9297945205479452,0.8990066225165563,0.9141414141414141
105,hedgehog - 1,0.95171202809482,0.9816849816849816,0.9225473321858864,0.9511978704525289
106,hedgehog - 2,0.781387181738367,0.7058823529411765,0.9932432432432432,0.8252631578947369
107,hedgehog - 3,0.929701230228471,0.9781818181818182,0.8877887788778878,0.930795847750865
108,hippopotamus - 1,0.9165935030728709,0.9637404580152672,0.8691910499139415,0.9140271493212669
109,hippopotamus - 2,0.9209138840070299,0.9735349716446124,0.871404399323181,0.9196428571428571
110,hippopotamus - 3,0.8172231985940246,0.7656458055925432,0.9472817133443163,0.8468335787923417
111,hornbill - 1,0.9370629370629371,0.9299145299145299,0.9460869565217391,0.9379310344827586
